NBTreeGRASP-RVND_WSN_RODADA_1_5F	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
NBTreeGRASP-RVND_WSN_RODADA_1_5F	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
NBTreeGRASP-RVND_WSN_RODADA_1_5F(22)	99.43033599853516	98.82054138183594	0.0	[17, 11, 5, 3]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(23)	99.43033599853516	98.82054138183594	0.0	[8, 17, 5, 11, 3]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(24)	99.43033599853516	98.82054138183594	0.0	[8, 17, 5, 11, 3]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(25)	99.43033599853516	98.82054138183594	0.0	[8, 17, 5, 11, 3]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(26)	99.43033599853516	98.82054138183594	0.0	[8, 17, 5, 11, 3]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(27)	99.43033599853516	98.82054138183594	0.0	[11, 5, 17, 3]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(28)	99.43033599853516	98.82054138183594	0.0	[11, 5, 17, 3]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(29)	99.43033599853516	98.82054138183594	0.0	[8, 17, 5, 11, 3]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(30)	99.43033599853516	98.82054138183594	0.0	[8, 17, 5, 11, 3]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(31)	99.43033599853516	98.82054138183594	0.0	[8, 17, 5, 11, 3]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(32)	99.43033599853516	98.82054138183594	0.0	[8, 17, 5, 11]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(33)	99.43033599853516	98.82054138183594	0.0	[17, 11, 5, 3]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(34)	99.43033599853516	98.82054138183594	0.0	[17, 11, 5, 3]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(35)	99.43033599853516	98.82054138183594	0.0	[17, 11, 5, 3]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(36)	99.43033599853516	98.82054138183594	0.0	[5, 17, 11, 6, 13]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(37)	99.43033599853516	98.82054138183594	0.0	[5, 17, 11, 6, 13]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(38)	99.43033599853516	98.82054138183594	0.0	[5, 17, 11, 6, 13]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(39)	99.43033599853516	98.82054138183594	0.0	[13, 5, 17, 11]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(40)	99.43033599853516	98.82054138183594	0.0	[12, 17, 5, 11]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(41)	99.43033599853516	98.82054138183594	0.0	[5, 17, 11, 6]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(42)	99.43033599853516	98.82054138183594	0.0	[17, 11, 5, 3]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(43)	99.43033599853516	98.82054138183594	0.0	[17, 5, 11, 3, 6]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(44)	99.43033599853516	98.82054138183594	0.0	[17, 5, 11, 3, 6]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(45)	99.43033599853516	98.82054138183594	0.0	[11, 5, 17, 6, 12]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(46)	99.43033599853516	98.82054138183594	0.0	[8, 11, 5, 17, 3]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(47)	99.43033599853516	98.82054138183594	0.0	[17, 5, 11, 6, 12]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(48)	99.43033599853516	98.82054138183594	0.0	[17, 5, 11, 3, 13]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(49)	99.43033599853516	98.82054138183594	0.0	[17, 5, 11, 3, 13]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(50)	99.43033599853516	98.82054138183594	0.0	[11, 13, 17, 5]	
