RandomTreeGRASP-RVND_KDD_RODADA_1_5F_	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(15)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(16)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(17)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(18)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(19)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(20)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(21)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(22)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(23)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(24)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(25)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(26)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(27)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(28)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(29)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(30)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(31)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(32)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(33)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(34)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(35)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(36)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(37)	85.69513702392578	39.28691482543945	0.09270704537630081	[36, 11, 3, 6, 1]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(38)	85.69513702392578	39.28691482543945	0.09270704537630081	[36, 11, 3, 6, 1]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(39)	85.69513702392578	39.28691482543945	0.09270704537630081	[36, 11, 3, 6, 1]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(40)	85.69513702392578	39.28691482543945	0.09270704537630081	[36, 11, 3, 6, 1]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(41)	85.69513702392578	39.28691482543945	0.09270704537630081	[36, 11, 3, 6, 1]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(42)	85.69513702392578	39.28691482543945	0.09270704537630081	[36, 11, 3, 6, 1]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(43)	85.69513702392578	39.28691482543945	0.09270704537630081	[36, 11, 3, 6, 1]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(44)	85.69513702392578	39.28691482543945	0.09270704537630081	[36, 11, 3, 6, 1]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(45)	85.69513702392578	39.28691482543945	0.09270704537630081	[36, 11, 3, 6, 1]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(46)	85.69513702392578	39.28691482543945	0.09270704537630081	[36, 11, 3, 6, 1]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(47)	85.69513702392578	39.28691482543945	0.09270704537630081	[36, 11, 3, 6, 1]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(48)	85.69513702392578	39.28691482543945	0.09270704537630081	[36, 11, 3, 6, 1]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(49)	85.69513702392578	39.28691482543945	0.09270704537630081	[36, 11, 3, 6, 1]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(50)	85.69513702392578	39.28691482543945	0.09270704537630081	[36, 11, 3, 6, 1]	
