J48_KDD_RODADA_1_5F_	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
J48_KDD_RODADA_1_5F_(40)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(41)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(42)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(43)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(44)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(45)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(46)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(47)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(48)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(49)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(50)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
