NaiveBayesWSN_RODADA_1_5F	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
NaiveBayesWSN_RODADA_1_5F(41)	97.60994720458984	98.76506805419922	3.469153881072998	[12, 13, 10, 3, 18]	
NaiveBayesWSN_RODADA_1_5F(42)	97.60994720458984	98.76506805419922	3.469153881072998	[13, 3, 18, 17, 15]	
NaiveBayesWSN_RODADA_1_5F(43)	97.60994720458984	98.76506805419922	3.469153881072998	[12, 9, 8, 3]	
NaiveBayesWSN_RODADA_1_5F(44)	97.60994720458984	98.76506805419922	3.469153881072998	[9, 13, 3, 6, 18]	
NaiveBayesWSN_RODADA_1_5F(45)	97.60994720458984	98.76506805419922	3.469153881072998	[17, 3, 8, 15, 6]	
NaiveBayesWSN_RODADA_1_5F(46)	97.60994720458984	98.76506805419922	3.469153881072998	[12, 17, 15, 3, 6]	
NaiveBayesWSN_RODADA_1_5F(47)	97.60994720458984	98.76506805419922	3.469153881072998	[12, 8, 3, 6, 10]	
NaiveBayesWSN_RODADA_1_5F(48)	97.60994720458984	98.76506805419922	3.469153881072998	[13, 17, 15, 3, 6]	
NaiveBayesWSN_RODADA_1_5F(49)	97.60994720458984	98.76506805419922	3.469153881072998	[3, 8, 17, 15, 6]	
NaiveBayesWSN_RODADA_1_5F(50)	97.60994720458984	98.76506805419922	3.469153881072998	[10, 12, 8, 3, 6]	
