binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 142|, Acc: 81.24479675292969%s (VN: 23785.0 VP: 33833.0 FN: 420.0 FP: 12881.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 142|, Acc: 81.330810546875%s (VN: 23845.0 VP: 33834.0 FN: 419.0 FP: 12821.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 108|, Acc: 81.35055541992188%s (VN: 23860.0 VP: 33833.0 FN: 420.0 FP: 12806.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 102|, Acc: 77.8056640625%s (VN: 23596.0 VP: 31583.0 FN: 2670.0 FP: 13070.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 132|, Acc: 97.47176361083984%s (VN: 35296.0 VP: 33830.0 FN: 423.0 FP: 1370.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 31|, Acc: 80.8288345336914%s (VN: 23474.0 VP: 33849.0 FN: 404.0 FP: 13192.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 68|, Acc: 73.91954040527344%s (VN: 24303.0 VP: 28120.0 FN: 6133.0 FP: 12363.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 78|, Acc: 97.57469940185547%s (VN: 35369.0 VP: 33830.0 FN: 423.0 FP: 1297.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 103|, Acc: 97.16577911376953%s (VN: 35071.0 VP: 33838.0 FN: 415.0 FP: 1595.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 85|, Acc: 97.57469940185547%s (VN: 35369.0 VP: 33830.0 FN: 423.0 FP: 1297.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 110|, Acc: 97.57046508789062%s (VN: 35366.0 VP: 33830.0 FN: 423.0 FP: 1300.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 119|, Acc: 87.7649154663086%s (VN: 28412.0 VP: 33830.0 FN: 423.0 FP: 8254.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 115|, Acc: 97.47035217285156%s (VN: 35295.0 VP: 33830.0 FN: 423.0 FP: 1371.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 131|, Acc: 97.16577911376953%s (VN: 35071.0 VP: 33838.0 FN: 415.0 FP: 1595.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 112|, Acc: 96.06170654296875%s (VN: 35192.0 VP: 32934.0 FN: 1319.0 FP: 1474.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 101|, Acc: 97.21654510498047%s (VN: 35109.0 VP: 33836.0 FN: 417.0 FP: 1557.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 107|, Acc: 97.26307678222656%s (VN: 35140.0 VP: 33838.0 FN: 415.0 FP: 1526.0)
