KNNWSN_RODADA_1_5F	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
KNNWSN_RODADA_1_5F(22)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 15, 7]	
KNNWSN_RODADA_1_5F(23)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 15, 7]	
KNNWSN_RODADA_1_5F(24)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 15, 7]	
KNNWSN_RODADA_1_5F(25)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 15, 7]	
KNNWSN_RODADA_1_5F(26)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 15, 7]	
KNNWSN_RODADA_1_5F(27)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 15, 7]	
KNNWSN_RODADA_1_5F(28)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 15, 7]	
KNNWSN_RODADA_1_5F(29)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 15, 7]	
KNNWSN_RODADA_1_5F(30)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 15, 7]	
KNNWSN_RODADA_1_5F(31)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 15, 7]	
KNNWSN_RODADA_1_5F(32)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 15, 7]	
KNNWSN_RODADA_1_5F(33)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 15, 7]	
KNNWSN_RODADA_1_5F(34)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 15, 7]	
KNNWSN_RODADA_1_5F(35)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 15, 7]	
KNNWSN_RODADA_1_5F(36)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 15, 7]	
KNNWSN_RODADA_1_5F(37)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 15, 7]	
KNNWSN_RODADA_1_5F(38)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 15, 7]	
KNNWSN_RODADA_1_5F(39)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 15, 7]	
KNNWSN_RODADA_1_5F(40)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 15, 7]	
KNNWSN_RODADA_1_5F(41)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 15, 7]	
KNNWSN_RODADA_1_5F(42)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 15, 7]	
KNNWSN_RODADA_1_5F(43)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 15, 7]	
KNNWSN_RODADA_1_5F(44)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 15, 7]	
KNNWSN_RODADA_1_5F(45)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 15, 7]	
KNNWSN_RODADA_1_5F(46)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 15, 7]	
KNNWSN_RODADA_1_5F(47)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 15, 7]	
KNNWSN_RODADA_1_5F(48)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 15, 7]	
KNNWSN_RODADA_1_5F(49)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 15, 7]	
KNNWSN_RODADA_1_5F(50)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 15, 7]	
